REFACTORINGS (LABELS),FEATURE REQUEST,SMELLS
"Rename Class,Rename Method,","cdi support for converters and validators with
<context-param>
<param-name>org.apache.myfaces.CDI_MANAGED_CONVERTERS_ENABLED</param-name>
<param-value>true</param-value>
</context-param>
and
<context-param>
<param-name>org.apache.myfaces.CDI_MANAGED_VALIDATORS_ENABLED</param-name>
<param-value>true</param-value>
</context-param>
it should be possible to enable cdi support for converters/validators.
we need the config, because it was postponed for the spec.",", "
"Rename Method,","Add alwaysRecompile mode for EL Expression Cache Mode In MYFACES-3160, EL Expression Cache Mode was introduced but soon it was seen a
problem found on MYFACES-3169 (ui:param and c:set implementations does not 
work as expected).

There are two problems that limit the scope where EL Expression Cache can 
be used:

1. Facelets user tags cannot cache EL Expressions.
2. Inclusions using ui:param must always contains the same number of 
parameters.

To understand the reasons it is worth to remember this example:

a.xhtml
< ui:composition template=""c.xhtml"">
<ui:param name=""var1"" value=""value1""/>
< /ui:composition>

b.xhtml
< ui:composition template=""c.xhtml"">
<ui:param name=""var1"" value=""value1""/>
<ui:param name=""var2"" value=""value2""/>
< /ui:composition>

c.xhtml
< ui:composition>
<h:outputText value=""#{var1}/>
<h:outputText value=""#{var2}/>
< /ui:composition>

When facelet c.xhtml is constructed from a.xhtml, ""var2"" is not recognized as
a parameter so all EL expressions inside c.xhtml holding refereces to ""var2""
will be cached. Later, facelet c.xhtml is reused from b.xhtml but since 
some EL expressions are cached the passed value in ""var2"" is not taken into 
account and the error arise.

In this point it is good to remember that ui:include or ui:decorate or user 
tags are build view time tags, so they are executed only when the view is
built. Parameters or attributes passed by ui:param or as user tag attributes
follows the same principle, they are calculated on build view time through
VariableMapper and the evaluation is stored inside the EL Expression. This
means all EL Expressions holding references to these variables cannot be
cached and needs to be generated each time the view is built.

There is no way to know beforehand which references are affected, because
in a template or an user tag there is no declaration of the parameters or
attributes. But from user point of view that's good, because in this context
a declaration of the parameters is just not necessary.

The problem is ui:param and user tags are very useful features, widely used.
A solution to this problem will improve performance in those cases.

I have been thinking for a long time how to solve this, trying different 
strategies. Use some kind of concurrency algorithm inside TagAttributeImpl
does not work because it is too expensive, or use a central storage for 
cache the expressions by the cost involved in the comparisons.

The objective of cache EL expressions inside facelets abstract syntax tree 
(AST) is minimize the calculations required to get a valid expression. EL
implementations has already an internal map that cache that information,
but that code usually has synchronized blocks or similar things. In that
sense, the idea is rely on that storage in those EL expressions where 
there is no choice and they need to be recreated.

After doing many experiments in this part, I came up with a solution, which
involves the following points:

1. Associate to a facelet, the parameters that were considered as passed 
through ui:param or as a user tag attribute. If in some point of time
we know for example c.xhtml uses var1, just consider it as c.xhtml(var1).

2. Use DefaultVariableMapper to track the parameters that are passed through
ui:param or as a user tag attribute. When the EL expression is created, if
it uses at least one parameter, mark the expression as not cacheable.

3. Override FaceletCache implementation and force a recompilation of a 
facelet if a new parameter is detected that was not considered the first 
time the template was created.

4. A facelet stored in the cache can be used if and only if all the 
parameters used for the template where considered when it was compiled at
first time.

In the example proposed, when facelet c.xhtml is constructed from a.xhtml,
we say that c.xhtml was built with var1 as a known parameter, or 
c.xhtml(var1). when we try to reuse facelet c.xhtml from b.xhtml, we discover
that var2 is also a parameter, but since the cached facelet is c.xhtml(var1),
the algorithm discard the facelet and create a new one, but taking into
account var2 too, so the new facelet becomes c.xhtml(var1,var2). If there
is a call to c.xhtml with no params, it is considered that c.xhtml(var1,var2)
can be used in that case.

The final effect is just some extra compilations of the same facelet at
startup but in the medium/long term, the information we need is calculated 
and associated with the facelet url. Nice!. Facelet is very fast doing those
extra compilation steps, and the final effect over performance really pays 
off. We could even set this mode as default.

The only disadvantage of this strategy is the current contract of FaceletCache
is insuficient. As it has been described in MYFACES-3705, there are 
implementation details inside MyFaces Core and in our facelets implementation,
that needs to be exposed in a proper way. We need to create a custom
AbstractFaceletCache and specify how to implement it.
",", "
"Rename Method,","Use the same key in server side state saving for ajax requests The current code for server side state saving creates one key per request to store the view state. This is ok, but it is not necessary for ajax requests. 

The reason why is not necessary is because you can never go back to a page when using ajax. If you are on page A and the current request is an ajax request and it returns to the same page and the view is the same that the one that has been restored, the key or the token sent does not need to change, what changes is the internal state of the view. From the client side the page is the same. We can take advantage of this fact and just update the state stored in SerializedViewCollection for the view. 

The challenge here is detect when this strategy is applicable. For example, what happen if there is an ajax redirect? It looks is a good idea for implement in 2.2, because it avoids to store unnecessary information into session and optimize the use of each view slot.",", "
"Rename Method,Extract Method,Inline Method,","Refactor UIRepeat code to implement PSS algorithm like UIData and fix state behavior Right now, the code in org.apache.myfaces.view.facelets.component.UIRepeat has not been reviewed more than to fix issues related to JSF 2 spec. It works, but it can be done better.

The code has the following opportunities:

- Implement PSS algorithm, to prevent store data in the state.
- The algorithm used in UIData to handle state is better.
- Fix MYFACES-3415","Duplicated Code, Long Method, , , "
"Move And Rename Class,Extract Superclass,","Don't deserialize the ViewState-ID if the state saving method is server Currently the ViewState-ID provided by the user is deserialized via Java deserialization even when the {{javax.faces.STATE_SAVING_METHOD}} is set to {{server}} (the default).

The deserialization in this case is unecessary and most likely even slower than just sending the ViewState Id directly.
If a developer now disables the ViewState encryption by setting {{org.apache.myfaces.USE_ENCRYPTION}} to {{false}} (against the [MyFaces security advice|https://wiki.apache.org/myfaces/Secure_Your_Application]) he might have unintentionally introduced a dangerous remote code execution (RCE) vulnerability as described [here|https://www.alphabot.com/security/blog/2017/java/Misconfigured-JSF-ViewStates-can-lead-to-severe-RCE-vulnerabilities.html].

This has been discussed before on [Issue MYFACES-4021|https://issues.apache.org/jira/browse/MYFACES-4021].


",", Duplicated Code, Large Class, "
"Rename Method,Move Method,Extract Method,Move Attribute,","Create a new package org.apache.myfaces.spi and implement Providers for integration points with application containers On jsf 1.2 and earlier, it was only necessary one point for integrate an application container, an that was LifecycleProvider2, to handle @PostConstruct and @PreDestroy annotations.

But on jsf 2.0, many stuff has been introduced that requires provide spi interfaces, so application containers could integrate better.

One problem is how to handle jsf libraries outside WEB-INF/lib directory, or how to customize some algorithms that requires knowledge of the container protocols.

It is also known protocols like ""jar:"" to cause problems, when you try to scan files, because it is necessary to open a jar file and scan all entries to find just one file (see MYFACES-2583 and MYFACES-2833 for details).

I think we should introduce two new packages called org.apache.myfaces.spi and org.apache.myfaces.spi.impl to deal with this stuff.

Based on the class names found on com.sun.faces.spi package, we should provide the following points:

- Handling of @PostConstruct and @PreDestroy (done in LifecycleProvider2)
- Annotation scanning: containers could have this code duplicated or a framework to deal with stuff like that, so it should be a possibility to override/extend.
- faces-config.xml and facelet-taglib.xml additions: It should be possible to add resource files to be included in the process.
- Serialization (partially done on SerialFactory interface) : Jboss provide its own serialization solution.

At this time it is not very clear how this interfaces should looks like. I'll provide a proposal for this stuff, but it will take some time, because it is necessary to think carefully each interface.","Duplicated Code, Long Method, , , , "
"Rename Method,","enable 'standard' checkstyle checks in myfaces-core We currently only have the 'minimal' checks enabled in core, which actually only checks the correct license headers.

We should go for the 'standard' checkstyle rules, even if this would take some time to fix (found 1111 errors only in the first module).
",", "
"Move And Rename Class,Rename Method,","SearchExpression API There is a proposal from PrimeFaces guys to include a search expression api to locate components in cases like f:ajax execute/render attributes, h:message for attribute and others.

The idea comes from here:

http://blog.primefaces.org/?p=2740

The idea is support a syntax like this in the attributes:

< clientId>
:<id>
< id>:<id>:<id>
@<keyword>:<id>
id:@<keyword>
@<keyword>(<param1>)
@<keyword>(<param1>,<param2>)

There is a patch for this I have been working over the last weeks, but still require more tests and update the components in MyFaces Core 2.3 to use the new API.",", "
"Rename Method,Extract Method,","Create new module for JUnit Mock Testing using MyFaces Core, MyFaces Test and CDI This issue is the next step in the work started in MYFACES-3376 ""Create abstract test classes that runs MyFaces Core as in a container"".","Duplicated Code, Long Method, , "
"Rename Method,","Use Java8 instead of commons e.g. Base64 - will check other used parts

Collections:
* EmptyIterator (/)
* LRUMap (/)
* CollectionUtils.filter (/)
* Predicate (/)

Coded: (/)
* Hex (Could be replaced by javax/xml/bind/DatatypeConverter) (/)
* DecoderException (/)
* Base64 (/)

Digester:
* Digester (x)

BeanUtils:
* BeanUtils (x)
* PropertyUtils (x)",", "
"Extract Superclass,Move Method,Extract Method,Move Attribute,","Make a way to get the FacesConfig from a provider Currently, MyFaces startup listener will parse the all the faces configuration files and sort them on each startup time, and it will be better to do it once in the deployment time, and get those data structure instances from a provider. One possible way is to make those FacesConfig class serializable.
","Duplicated Code, Long Method, , , , Duplicated Code, Large Class, "
"Push Down Method,Push Down Attribute,Move Attribute,","Don't deserialize the ViewState-ID if the state saving method is server Currently the ViewState-ID provided by the user is deserialized via Java deserialization even when the {{javax.faces.STATE_SAVING_METHOD}} is set to {{server}} (the default).

The deserialization in this case is unecessary and most likely even slower than just sending the ViewState Id directly.
If a developer now disables the ViewState encryption by setting {{org.apache.myfaces.USE_ENCRYPTION}} to {{false}} (against the [MyFaces security advice|https://wiki.apache.org/myfaces/Secure_Your_Application]) he might have unintentionally introduced a dangerous remote code execution (RCE) vulnerability as described [here|https://www.alphabot.com/security/blog/2017/java/Misconfigured-JSF-ViewStates-can-lead-to-severe-RCE-vulnerabilities.html].

This has been discussed before on [Issue MYFACES-4021|https://issues.apache.org/jira/browse/MYFACES-4021].


",", , , , "
"Pull Up Method,Extract Method,Pull Up Attribute,","Allow to use different ExpressionFactory implementation It should be possible to use a different ExpressionFactory implementation. This feature is required
to use 3rd party EL implementations like JBoss EL. Mojarra already supports this with the
'com.sun.faces.expressionFactory' context parameter.

MyFaces Core 1.2.x already supports a context parameter 'org.apache.myfaces.EXPRESSION_FACTORY'
but it is only evaluated in a JSP 2.0 environment (see MYFACES-1693 for details).

It should be possible to use this parameter with JSP 2.1 as well. The corresponding code
should be refactored from Jsp20FacesInitializer to AbstractFacesInitializer to be usable in both
JSP 2.0 and 2.1.

Discussion on myfaces-users:

http://www.nabble.com/Replacing-expression-factory-td18867420.html
","Duplicated Code, Long Method, , Duplicated Code, Duplicated Code, "
"Rename Method,Move Method,Move Attribute,",Processor Counters should be included in the Status Reports This would allow a Processor's Status HIstory to show counters that were maintained over time periods instead of having only a single count since system start.,", , , "
"Rename Method,","Allow ConvertCharacterSet to accept expression language This issue arose from a user on the mailing list. It demonstrates the need to be able to use expression language to set the incoming (and potentially outgoing) character sets:

I'm looking to process many files into common formats. The source files are coming in various character sets, mime types, and new line terminators.

My thinking for a data flow was along these lines:

GetFile (from many sub directories) -> 
ExecuteStreamCommand (file -i) ->
ConvertCharacterSet (from previous command to utf8) ->
ReplaceText (to change any \r\n into \n) ->
PutFile (into a directory structure based on values found in the original file path and filename)

Additional steps would be added for archiving a copy of the original, converting xml files, etc.

Attempting to process these with Nifi leaves me confused as to how to process within the tool. If I want to ConvertCharacterSet, I have to know the input type. I setup a ExecuteStreamCommand to file -i ${absolute.path:append(${filename})} which returned the expected values. I don't see a way to turn these results into input for the processor, which doesn't accept expression language for that field.

I also considered ConvertCSVToAvro as an interim step but notice the same issue. Any suggestions what this dataflow should look like?",", "
"Rename Method,Extract Method,","Support AttributesToJSON processor Add a standard processor for creating a new attribute on a Flowfile which is the JSON representation of all (default) or a user-defined list of attributes.

Flowfile:
foo: bar
content: sometext

AttributesToJSON output:
foo: bar
content: sometext
JSON: {foo: 'bar', content: 'sometext'}","Duplicated Code, Long Method, , "
"Rename Method,Extract Method,","DFM should be allowed to inspect/interact with FlowFiles on a Connection User should be able to see the attributes, as well as download the content for flowfiles in the top of the active queue.

Additional tickets have been created and linked for searching, removing, and uploading flowfiles in a given queue.
","Duplicated Code, Long Method, , "
"Move Class,Move Method,Inline Method,Move Attribute,","Refactor InvokeHttp InvokeHttp currently uses Java's HttpUrlConnection, which is lacking in it's features and ease-of-use. In order to support all the current InvokeHttp pending tickets it's clear that a new underlying library is needed.

OkHttp looks to be a promising library that focusing on individual transactions (as opposed to Apache's HttpClient that focuses more on sessions).",", , , , "
"Extract Method,Move Attribute,","TailFile ""File to Tail"" property should support Wildcards Because of challenges around log rotation of high volume syslog and app producers, it is customary to logging platform developers to promote file variables based file names such as DynaFiles (rsyslog), Macros(syslog-ng)as alternatives to getting SIGHUPs being sent to the syslog daemon upon every file rotation.

(To certain extent, used even NiFi's has similar patterns, like for example, when one uses Expression Language to set PutHDFS destination file).

The current TailFile strategy suggests rotation patterns like:
{code}
log_folder/app.log
log_folder/app.log.1
log_folder/app.log.2
log_folder/app.log.3
{code}

It is possible to fool the system to accept wildcards by simply using a strategy like:

{code}
log_folder/test1
log_folder/server1
log_folder/server2
log_folder/server3
{code}

And configure *Rolling Filename Pattern* to * but it feels like a hack, rather than catering for an ever increasingly prevalent use case (DynaFile/macros/etc).

It would be great if instead, TailFile had the ability to use wildcards on File to Tail property","Duplicated Code, Long Method, , , "
"Pull Up Method,Move Method,Extract Method,Pull Up Attribute,Move Attribute,","Create a Put HBase processor that can put multiple cells We recently added a PutHBaseCell processor which works great for writing one individual cell at a time, but it can require a significant amount of work in a flow to create a row with multiple cells. 

We should support a variation of this processor that can accept a flow file with key/value pairs in the content of the flow file (possibly json). The key/value pairs then turned into the cells for the given row and get added in one put operation.","Duplicated Code, Long Method, , , , Duplicated Code, Duplicated Code, "
"Move And Rename Class,Move Method,Extract Method,Move Attribute,","Allow ReplaceText expression language functions to access matching group values Chanru from the user's mailing list asked how we'd support a pretty simple use case of converting 

{quote}
col1,col2,col3
2006,10-01-2004,10may2004
2007,15-05-2006,10jun2005
2009,8-8-2008,10aug2008
{quote}

to this

{quote}
col1,col2,col3
2006,10-01-2004,2004-05-10
2007,15-05-2006,2005-06-10
2009,8-8-2008,2008-08-10
{quote}

And we can do it today but it is surprising more effort than it should be. The problem is that ReplaceText as-is gets us sooo close. But what it cannot do is convert the original column three into a formatted Date object which can then be written out as a formatted string. If it could then this would be easy. So for example if we extracted each column as a matching group and the replacement value could be

{code}
${ $3:toDate('ddMMMyyy'):format('yyyy/MM/ddd')}
{code}

Then we'd be all set. But right now there is no way to take that third matching group and do anything fun with expression language on it because it is not a subject passed into the EL on which functions could be applied. If instead we simply added those matching groups as keys/subjects available to the EL then this becomes a quite powerful tool.
","Duplicated Code, Long Method, , , , "
"Move Class,Move Method,Extract Method,Move Attribute,","Provide additional KDFs for EncryptContent Currently, the two key derivation functions (KDF) supported are NiFi Legacy (1000 iterations of MD5 digest over a password and optional salt) and OpenSSL PKCS#5 v1.5 (a single iteration of MD5 digest over a password and optional salt). 

Both of these are very weak -- they use a deprecated cryptographic hash function (CHF) with known weakness and susceptibility to collisions (with demonstrated attacks) and a non-configurable and tightly coupled iteration count to derive the key and IV. 

Current best practice KDFs (with work factor recommendations) are as follows:
* PBKDF2 with variable hash function (SHA1, SHA256, SHA384, SHA512, or ideally HMAC variants of these functions) and variable iteration count (in the 10k - 1M range). 
* bcrypt with work factor of 12 - 16
* scrypt with work factor of (2^14 - 2^20, 8, 1)

The salt and iteration count should be stored alongside the hashed record (bcrypt handles this natively). 

Notes:

* http://wildlyinaccurate.com/bcrypt-choosing-a-work-factor/
* http://blog.ircmaxell.com/2012/12/seven-ways-to-screw-up-bcrypt.html
* http://security.stackexchange.com/questions/17207/recommended-of-rounds-for-bcrypt
* http://security.stackexchange.com/questions/3959/recommended-of-iterations-when-using-pkbdf2-sha256/3993#3993
* http://security.stackexchange.com/questions/4781/do-any-security-experts-recommend-bcrypt-for-password-storage/6415 
* http://web.archive.org/web/20130407190430/http://chargen.matasano.com/chargen/2007/9/7/enough-with-the-rainbow-tables-what-you-need-to-know-about-s.html
* https://www.nccgroup.trust/us/about-us/newsroom-and-events/blog/2015/march/enough-with-the-salts-updates-on-secure-password-schemes/
* http://www.tarsnap.com/scrypt.html
* http://www.tarsnap.com/scrypt/scrypt.pdf","Duplicated Code, Long Method, , , , "
"Rename Method,Extract Method,","Provide additional KDFs for EncryptContent Currently, the two key derivation functions (KDF) supported are NiFi Legacy (1000 iterations of MD5 digest over a password and optional salt) and OpenSSL PKCS#5 v1.5 (a single iteration of MD5 digest over a password and optional salt). 

Both of these are very weak -- they use a deprecated cryptographic hash function (CHF) with known weakness and susceptibility to collisions (with demonstrated attacks) and a non-configurable and tightly coupled iteration count to derive the key and IV. 

Current best practice KDFs (with work factor recommendations) are as follows:
* PBKDF2 with variable hash function (SHA1, SHA256, SHA384, SHA512, or ideally HMAC variants of these functions) and variable iteration count (in the 10k - 1M range). 
* bcrypt with work factor of 12 - 16
* scrypt with work factor of (2^14 - 2^20, 8, 1)

The salt and iteration count should be stored alongside the hashed record (bcrypt handles this natively). 

Notes:

* http://wildlyinaccurate.com/bcrypt-choosing-a-work-factor/
* http://blog.ircmaxell.com/2012/12/seven-ways-to-screw-up-bcrypt.html
* http://security.stackexchange.com/questions/17207/recommended-of-rounds-for-bcrypt
* http://security.stackexchange.com/questions/3959/recommended-of-iterations-when-using-pkbdf2-sha256/3993#3993
* http://security.stackexchange.com/questions/4781/do-any-security-experts-recommend-bcrypt-for-password-storage/6415 
* http://web.archive.org/web/20130407190430/http://chargen.matasano.com/chargen/2007/9/7/enough-with-the-rainbow-tables-what-you-need-to-know-about-s.html
* https://www.nccgroup.trust/us/about-us/newsroom-and-events/blog/2015/march/enough-with-the-salts-updates-on-secure-password-schemes/
* http://www.tarsnap.com/scrypt.html
* http://www.tarsnap.com/scrypt/scrypt.pdf","Duplicated Code, Long Method, , "
"Move Class,Move And Rename Class,Rename Method,Move Method,Extract Method,Inline Method,Move Attribute,","Add support for RELP in ListenSyslog Add support for listening for syslog events using The Reliable Event Logging Protocol (RELP) [1]
http://www.rsyslog.com/doc/relp.html","Duplicated Code, Long Method, , , , , "
"Rename Class,Rename Method,Inline Method,","Add processor(s) support for Elasticsearch Request to add processors to NiFi for Elasticsearch for the following capabilities:

- Bulk Insert of flowfile content
- Fetch files by document id
- Support for secure clusters (if the Shield plugin is available)",", , "
"Rename Class,Move Class,Rename Method,Move Method,Extract Method,Move Attribute,","Create QueryFlowFile Processor We should have a Processor that allows users to easily filter out specific columns from CSV data. For instance, a user would configure two different properties: ""Columns of Interest"" (a comma-separated list of column indexes) and ""Filtering Strategy"" (Keep Only These Columns, Remove Only These Columns).

We can do this today with ReplaceText, but it is far more difficult than it would be with this Processor, as the user has to use Regular Expressions, etc. with ReplaceText.

Eventually a Custom UI could even be built that allows a user to upload a Sample CSV and choose which columns from there, similar to the way that Excel works when importing CSV by dragging and selecting the desired columns? That would certainly be a larger undertaking and would not need to be done for an initial implementation.","Duplicated Code, Long Method, , , , "
"Move And Rename Class,Move Method,Move Attribute,","Create QueryFlowFile Processor We should have a Processor that allows users to easily filter out specific columns from CSV data. For instance, a user would configure two different properties: ""Columns of Interest"" (a comma-separated list of column indexes) and ""Filtering Strategy"" (Keep Only These Columns, Remove Only These Columns).

We can do this today with ReplaceText, but it is far more difficult than it would be with this Processor, as the user has to use Regular Expressions, etc. with ReplaceText.

Eventually a Custom UI could even be built that allows a user to upload a Sample CSV and choose which columns from there, similar to the way that Excel works when importing CSV by dragging and selecting the desired columns? That would certainly be a larger undertaking and would not need to be done for an initial implementation.",", , , "
"Rename Class,Rename Method,Move Method,Extract Method,Move Attribute,","Add capabilities to Kafka NAR to use new Kafka API (0.9) Not sure when can we address this, but the interesting comment in https://github.com/apache/nifi/pull/143. The usage of new API may introduce issues with running against older Kafka brokers (e.g., 0.8). Need to investigate.","Duplicated Code, Long Method, , , , "
"Move Method,Move Attribute,","Create Avro Schema by inferring CSV and JSON data There are several situations where the ability to dynamically create an Avro schema is desired. Kite provides the ability to dynamically infer an Avro schema from both CSV and JSON data. Since NiFi already contains a kite bundle for converting csv and json to Avro this feature should be an easy add. 

I propose 2 new processors ""InferAvroSchemaFromCSV"" and ""InferAvroSchemaFromJSON"". These processors will reside inside of the existing ""nifi-kite-bundle"" and extend upon the already present third party libraries. Each processor will accept either CSV or JSON and produce as output the Avro Schema JSON and the original data that was presented to them. The processors will rely on kite to perform the actually inferring of the schema.",", , , "
"Rename Method,","Splunk Processors To continue improving NiFi's ability to collect logs, a good integration point would be to have a processor that could listen for data from a Splunk forwarder (https://docs.splunk.com/Splexicon:Universalforwarder). Being able to push log messages to Splunk would also be useful.

Splunk provides an SDK that may be helpful:
https://github.com/splunk/splunk-sdk-java",", "
"Move Method,Extract Method,","Splunk Processors To continue improving NiFi's ability to collect logs, a good integration point would be to have a processor that could listen for data from a Splunk forwarder (https://docs.splunk.com/Splexicon:Universalforwarder). Being able to push log messages to Splunk would also be useful.

Splunk provides an SDK that may be helpful:
https://github.com/splunk/splunk-sdk-java","Duplicated Code, Long Method, , , "
"Rename Class,Extract Method,Move Attribute,","Add scriptable ReportingTask Now that NIFI-210 adds scriptable Processors (and scripted onTrigger bodies), a great extension would be to add a scriptable ReportingTask. This would enable users to script their own ReportingTasks using the various supported scripting languages.","Duplicated Code, Long Method, , , "
"Rename Method,","Refactor lifecycle code for Processors and other components Similar lifecycle handling improvements that went in as part of the NIFI-1164 for ControllerServices, could/should be applied to other components (e..g, Processors).
The improvements may also help to address NIFI-78 (may be without killing the thread).",", "
"Pull Up Method,Extract Method,Pull Up Attribute,","Refactor lifecycle code for Processors and other components Similar lifecycle handling improvements that went in as part of the NIFI-1164 for ControllerServices, could/should be applied to other components (e..g, Processors).
The improvements may also help to address NIFI-78 (may be without killing the thread).","Duplicated Code, Long Method, , Duplicated Code, Duplicated Code, "
"Rename Method,Extract Method,","Add Kerberos Support to HBase processors Our current HBase integration does not support communicating with a Kerberized HBase install. We should support this just like we do for the HDFS processors.

","Duplicated Code, Long Method, , "
"Move Class,Rename Method,Move Method,Extract Method,Move Attribute,","Remove storage of components' stats and bulletins from NCM Currently, each node in a cluster sends a period heartbeat that contains the stats for all components in the node. This happens every 5 seconds by default. This results in quite a lot of chatter between the NCM and nodes. It made sense to take this approach when the clustering concept was designed because there were no Process Groups, and we had no notion of merging responses from nodes for a web request.

However, now we should replicate the request to all nodes and then merge the responses on demand, rather than storing this information on the NCM. This requires far less bandwidth because we only need to pull the stats for a particular Process Group and only on demand instead of every 5 seconds. 

Additionally, this is laying groundwork for the Zero-Master clustering that we want to have in place for 1.0.0.

In order to remove the stats from the NCM, we will also need to remove the bulletins and stats history. These requests will all need to be federated and the responses merged on-demand.","Duplicated Code, Long Method, , , , "
"Rename Class,Rename Method,Move Method,Extract Method,","Improve Expression Language to Enable Working with Decimals Currently the math operations in Expression Language use Longs to evaluate numbers. This leads to any decimal places getting truncated when performing operations like divide. 

NiFi should support working with decimals","Duplicated Code, Long Method, , , "
"Rename Method,Extract Method,","Improve the Provenance Events emitted by PutKafka The Provenance SEND events emitted by PutKafka should include the amount of time that it took to send the data. Also, if some of the messages were sent but not all (when using a delimiter), then we should have a SEND event that indicates the number of events that were sent. The Transit URI should also include the ""kafka://"" protocol name at the beginning and should include the topic, such as kafka://leaderBroker:9092/topics/topicDataWasPlacedOn","Duplicated Code, Long Method, , "
"Rename Method,Move Method,Extract Method,Move Attribute,","Nodes in cluster should use ZooKeeper to store heartbeat messages instead of sending to NCM Currently, nodes send heartbeats to the NCM periodically in order to indicate that they are actively participating in the cluster. As we move away from using an NCM, we need these heartbeats to go somewhere else. ZooKeeper is a reasonable location to push the heartbeats to, as it provides the HA that we need","Duplicated Code, Long Method, , , , "
"Rename Method,Push Down Attribute,","Allow concurrent execution of ExecuteScript Currently ExecuteScript is annotated as TriggerSerially, meaning only one task can be running at a time. This causes issues for throughput, and can become a severe bottleneck in a flow.

Originally this was done because the bindings for the session, context, etc. were put on a single script engine, so multiple tasks would clobber each other's bindings. However as a tradeoff (memory for capability), it would be better to have a ""pool"" of Script Engine instances, whose size is perhaps the max number of concurrent tasks.",", , "
